,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,paperlessbilling,monthlycharges,totalcharges,churn,contract_One year,contract_Two year,paymentmethod_Credit card (automatic),paymentmethod_Electronic check,paymentmethod_Mailed check
77,0,0,1,1,8,1,0,0,2,2,0,0,0,0,0,54.65,482,0,0,0,0,0,1
78,1,1,0,0,30,1,0,0,2,2,0,0,2,2,1,74.75,2111,0,0,0,0,1,0
79,0,0,1,1,45,1,2,2,1,1,1,1,1,1,1,25.9,1216,0,1,0,1,0,0
80,0,0,0,1,1,1,0,1,0,0,0,0,2,0,1,79.35,79,1,0,0,0,1,0
81,0,0,1,1,11,0,1,0,2,0,0,0,2,2,0,50.55,565,0,0,0,0,1,0
82,0,0,1,0,7,1,0,1,0,0,2,0,0,0,1,75.15,496,1,0,0,0,0,0
83,0,0,0,0,42,1,0,1,0,2,2,2,2,2,1,103.8,4327,0,0,0,0,0,0
84,0,0,1,0,49,1,0,2,1,1,1,1,1,1,1,20.15,973,0,0,1,0,0,0
85,1,0,0,0,9,1,2,1,0,2,0,0,2,2,1,99.3,918,0,0,0,1,0,0
86,0,0,1,0,35,1,0,0,2,0,0,0,2,0,1,62.15,2215,0,1,0,0,0,0
87,0,0,1,1,48,1,0,2,1,1,1,1,1,1,0,20.65,1057,0,0,1,0,0,0
88,0,0,1,1,46,1,0,2,1,1,1,1,1,1,1,19.95,927,0,0,1,0,0,1
89,1,0,1,0,29,0,1,0,0,0,0,0,2,0,0,33.75,1009,0,0,0,0,0,1
90,1,0,1,1,30,1,0,1,0,2,2,0,0,0,0,82.05,2570,0,0,0,0,0,0
91,1,1,0,0,1,1,0,1,0,0,0,2,0,0,0,74.7,74,0,0,0,0,1,0
92,1,0,1,1,66,1,2,0,2,0,2,2,2,2,1,84.0,5714,0,0,1,0,0,1
93,0,0,0,0,65,1,2,1,2,2,2,0,2,2,1,111.05,7107,0,0,0,1,0,0
94,1,0,0,0,72,1,2,1,0,2,2,0,2,2,1,100.9,7459,0,0,1,0,0,0
95,0,0,0,0,12,1,2,1,2,0,0,0,0,0,1,78.95,927,1,0,0,0,1,0
96,1,0,1,1,71,1,2,0,2,2,0,2,0,0,1,66.85,4748,0,1,0,1,0,0
97,1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,21.05,113,1,0,0,0,0,1
98,1,0,0,0,52,1,0,2,1,1,1,1,1,1,0,21.0,1107,0,0,1,0,0,0
99,0,1,1,0,25,1,0,1,0,2,2,0,2,2,1,98.5,2514,1,0,0,0,1,0
100,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,20.2,20,0,0,0,0,0,1
101,0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,19.45,19,0,0,0,0,1,0
102,1,0,0,0,38,1,2,1,0,0,2,2,2,0,0,95.0,3605,0,1,0,0,0,0
103,0,1,1,0,66,0,1,0,0,2,2,0,2,0,0,45.55,3027,0,1,0,0,0,0
104,1,0,1,0,68,1,2,1,0,2,2,2,2,2,1,110.0,7611,1,0,1,0,0,0
105,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,24.3,100,0,0,0,0,0,1
106,0,0,1,1,72,1,2,1,2,2,0,0,2,2,1,104.15,7303,0,1,0,0,1,0
107,0,0,0,0,32,0,1,0,2,0,0,0,0,0,0,30.15,927,0,1,0,0,0,1
108,1,0,0,0,43,1,2,1,0,0,0,0,2,2,0,94.35,3921,0,1,0,0,0,1
109,1,0,1,1,72,1,0,2,1,1,1,1,1,1,0,19.4,1363,0,0,1,1,0,0
110,1,0,1,0,55,1,2,1,2,2,0,0,2,0,1,96.75,5238,1,0,0,0,1,0
111,0,0,0,0,52,1,0,0,2,0,2,2,0,0,0,57.95,3042,0,1,0,1,0,0
112,0,0,0,0,43,1,0,1,0,2,2,0,2,0,1,91.65,3954,0,0,0,0,1,0
113,0,1,1,0,37,1,2,1,0,0,0,0,0,0,1,76.5,2868,1,0,0,0,1,0
114,0,0,1,1,64,0,1,0,0,2,0,2,2,2,1,54.6,3423,0,0,1,0,1,0
115,1,0,1,1,3,1,0,1,2,2,0,0,2,0,0,89.85,248,0,0,0,0,1,0
116,0,0,0,0,36,0,1,0,2,0,0,0,0,0,0,31.05,1126,0,0,1,0,0,0
117,0,0,1,1,10,1,2,1,2,0,0,0,2,2,1,100.25,1064,1,0,0,0,1,0
118,0,0,0,0,41,1,0,2,1,1,1,1,1,1,0,20.65,835,0,0,1,0,0,1
119,1,0,1,1,27,1,2,1,0,2,0,2,0,0,1,85.2,2151,0,0,0,1,0,0
120,0,0,1,1,56,1,2,1,0,0,2,0,2,2,1,99.8,5515,0,1,0,1,0,0
121,0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,20.7,112,0,0,0,0,0,1
122,1,0,0,0,3,1,2,1,0,0,0,0,0,0,1,74.4,229,1,0,0,0,1,0
123,0,0,1,1,7,1,0,0,2,0,0,0,0,0,0,50.7,350,0,0,0,0,0,1
124,0,0,1,1,4,1,0,2,1,1,1,1,1,1,0,20.85,62,0,0,0,0,0,1
125,1,0,0,0,33,1,0,1,2,0,0,2,2,0,1,88.95,3027,0,0,1,0,1,0
126,0,1,0,0,27,1,2,1,0,0,2,0,0,0,1,78.05,2135,1,0,0,0,1,0
127,1,0,1,0,72,1,2,2,1,1,1,1,1,1,1,23.55,1723,0,0,1,0,0,0
128,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,19.75,19,0,0,0,0,0,1
129,1,1,0,0,71,0,1,0,2,2,0,0,2,2,1,56.45,3985,0,1,0,0,1,0
130,0,0,0,0,13,1,2,1,0,0,0,0,0,2,1,85.95,1215,0,0,0,0,1,0
131,0,0,1,1,25,0,1,0,2,2,2,0,2,2,1,58.6,1502,1,0,0,1,0,0
132,1,0,0,0,67,1,0,0,0,0,0,2,0,0,0,50.55,3260,0,0,1,0,0,0
133,1,0,0,0,1,0,1,0,0,0,0,0,0,2,1,35.45,35,1,0,0,0,1,0
134,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,44.35,81,1,0,0,0,1,0
135,0,0,0,0,43,1,2,2,1,1,1,1,1,1,1,25.7,1188,0,0,1,1,0,0
136,0,0,0,0,23,1,0,1,2,0,0,0,0,0,1,75.0,1778,0,0,0,0,0,0
137,0,0,1,1,64,1,0,2,1,1,1,1,1,1,0,20.2,1277,0,0,1,0,0,1
138,1,0,0,1,57,1,0,2,1,1,1,1,1,1,1,19.6,1170,0,0,1,0,0,1
139,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,70.45,70,1,0,0,0,0,1
140,0,1,1,1,72,1,2,0,2,2,2,2,2,2,1,88.05,6425,0,0,1,1,0,0
141,0,0,0,0,8,1,2,0,2,0,0,2,0,2,0,71.15,563,1,0,0,0,1,0
142,0,0,1,0,61,1,2,1,0,2,0,0,2,2,1,101.05,5971,0,0,1,0,0,0
143,1,0,0,0,64,1,2,1,2,2,0,0,0,0,1,84.3,5289,0,1,0,1,0,0
144,1,1,1,0,71,1,2,2,1,1,1,1,1,1,0,23.95,1756,0,0,1,0,0,0
145,0,0,1,1,65,1,2,1,2,2,0,2,2,0,1,99.05,6416,0,0,1,1,0,0
146,1,0,0,0,3,1,0,2,1,1,1,1,1,1,0,19.6,61,0,1,0,0,0,1
147,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,45.65,45,1,0,0,0,1,0
148,1,0,0,1,30,1,0,0,0,2,2,0,2,0,0,64.5,1929,0,1,0,1,0,0
149,1,0,1,1,15,1,0,0,0,2,2,2,0,2,1,69.5,1071,0,0,0,0,0,1
150,0,0,1,1,8,1,0,0,0,0,0,2,2,2,1,68.55,564,0,0,0,0,1,0
151,1,0,0,0,7,1,2,1,0,0,0,0,2,2,0,95.0,655,1,0,0,0,0,1
152,0,0,1,1,70,1,2,1,2,2,2,0,2,2,1,108.15,7930,0,1,0,1,0,0
153,1,0,1,1,62,1,0,0,2,2,2,2,2,2,0,86.1,5215,0,0,1,0,1,0
154,0,0,1,1,6,1,0,2,1,1,1,1,1,1,0,19.7,113,0,0,0,0,0,1
155,0,0,1,1,14,1,0,1,0,0,0,0,0,2,1,80.9,1152,0,0,0,0,0,0
156,0,0,0,0,22,1,2,1,0,0,0,0,2,0,1,84.15,1821,0,0,0,0,0,0
157,1,0,1,1,22,1,0,2,1,1,1,1,1,1,0,20.15,419,0,1,0,0,0,1
158,1,0,1,1,16,1,0,0,2,0,2,0,2,0,0,64.25,1024,0,0,1,0,0,1
159,1,0,0,0,10,1,2,2,1,1,1,1,1,1,0,25.7,251,0,0,1,0,0,0
160,0,0,0,1,13,1,0,0,2,2,0,0,0,0,1,56.0,764,0,0,0,0,1,0
161,0,0,1,0,20,1,2,1,2,0,0,0,0,0,0,82.4,1592,1,0,0,0,1,0
162,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,69.7,135,0,0,0,0,1,0
163,1,0,0,0,53,1,2,0,0,2,2,2,0,2,1,73.9,3958,0,0,1,0,0,0
164,0,0,1,1,11,1,0,2,1,1,1,1,1,1,0,20.6,233,0,1,0,0,0,1
165,1,0,1,0,69,1,0,2,1,1,1,1,1,1,0,19.9,1363,0,0,1,0,0,1
166,0,0,0,0,4,1,0,1,0,0,0,0,0,0,1,70.9,273,1,0,0,0,0,0
167,1,0,1,0,72,1,2,0,2,2,2,2,2,2,1,89.05,6254,0,0,1,0,0,0
168,1,1,1,0,58,0,1,0,0,2,2,0,0,2,1,45.3,2651,1,0,0,0,1,0
169,0,0,1,1,16,1,0,2,1,1,1,1,1,1,0,20.4,321,0,0,0,0,1,0
170,1,0,1,0,43,1,0,1,2,0,2,2,0,0,1,84.25,3539,0,1,0,0,0,0
171,0,0,1,0,2,1,2,1,0,0,2,2,2,2,1,104.4,242,1,0,0,0,1,0
172,1,0,1,0,14,1,0,0,0,2,2,2,2,2,0,81.95,1181,0,0,1,0,0,1
173,0,0,1,0,53,1,0,1,0,0,2,0,2,2,1,94.85,5000,1,1,0,0,0,0
174,0,0,0,0,32,1,0,2,1,1,1,1,1,1,0,20.55,654,0,1,0,0,0,0
175,0,0,1,0,34,1,2,2,1,1,1,1,1,1,0,24.7,780,0,0,0,0,1,0
176,0,1,0,0,15,1,2,1,0,0,0,0,0,0,1,74.45,1145,1,0,0,0,0,1
177,0,1,0,0,7,1,0,1,2,0,0,0,0,0,0,76.45,503,1,0,0,0,0,0
178,0,0,1,1,15,1,2,1,0,2,2,0,2,2,1,105.35,1559,0,0,0,0,0,0
179,1,0,1,0,61,1,0,2,1,1,1,1,1,1,1,20.55,1252,0,1,0,1,0,0
180,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,29.95,29,1,0,0,0,0,0
181,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,45.3,45,0,0,0,0,0,1
182,1,0,0,0,8,1,2,1,0,0,0,0,0,2,0,84.5,662,1,0,0,0,0,0
183,1,0,1,1,33,1,0,0,2,0,2,0,2,2,0,74.75,2453,0,1,0,1,0,0
184,0,0,0,0,13,1,0,1,0,2,2,0,0,0,1,79.25,1111,1,0,0,0,1,0
185,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,24.8,24,1,0,0,0,1,0
186,1,0,0,0,20,1,0,0,0,2,0,0,0,0,1,51.8,1023,0,0,0,0,0,1
187,1,0,0,0,3,0,1,0,0,0,0,2,0,0,0,30.4,82,0,0,0,0,1,0
188,0,0,0,0,13,1,0,2,1,1,1,1,1,1,0,19.65,244,0,1,0,0,1,0
189,0,0,1,0,40,1,2,0,0,2,0,0,0,0,0,56.6,2379,0,0,0,1,0,0
190,1,0,1,1,43,1,2,0,2,0,0,2,0,2,1,71.9,3173,0,1,0,1,0,0
191,1,0,1,0,6,1,0,1,0,2,2,0,0,2,1,91.0,531,1,0,0,0,1,0
192,0,0,1,1,69,1,0,2,1,1,1,1,1,1,0,19.75,1375,0,0,1,0,0,0
193,0,0,1,1,72,1,2,1,2,2,2,0,2,2,0,109.7,8129,0,0,1,1,0,0
194,1,0,1,1,59,1,0,2,1,1,1,1,1,1,0,19.3,1192,0,0,1,1,0,0
195,0,0,1,0,20,1,0,1,2,2,0,2,2,0,1,96.55,1901,0,0,0,0,1,0
196,1,0,1,1,24,1,2,2,1,1,1,1,1,1,1,24.1,587,0,0,1,0,0,0
197,1,0,0,0,59,1,2,1,0,2,2,2,2,2,1,111.35,6519,0,0,0,0,1,0
198,1,0,1,1,72,1,2,1,0,2,2,2,2,2,1,112.25,8041,0,0,1,0,0,0
199,1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,20.75,20,0,0,0,0,0,1
200,0,0,1,0,27,1,0,1,2,0,0,2,2,2,1,101.9,2681,0,1,0,1,0,0
201,0,0,0,0,14,1,0,1,0,2,0,2,0,0,1,80.05,1112,0,0,0,1,0,0
202,1,0,1,1,71,1,2,1,2,0,2,0,2,2,0,105.55,7405,0,0,1,0,1,0
203,1,0,0,1,13,1,0,1,0,0,0,0,2,0,1,78.3,1033,0,0,0,1,0,0
204,1,0,0,0,44,1,0,1,0,0,0,0,0,0,0,68.85,2958,0,0,0,1,0,0
205,0,0,0,0,33,1,0,1,0,2,0,2,0,0,1,79.95,2684,0,1,0,0,0,0
206,1,0,1,1,72,0,1,0,2,2,2,2,0,2,1,55.45,4179,0,0,1,1,0,0
207,1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,79.9,79,1,0,0,0,1,0
208,0,0,0,0,19,1,0,1,2,0,2,2,2,2,1,106.6,1934,1,0,0,0,1,0
209,1,0,1,0,64,1,0,1,0,2,2,2,2,2,1,102.45,6654,0,1,0,1,0,0
210,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,46.0,84,1,0,0,1,0,0
211,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.25,25,0,0,0,0,1,0
212,1,0,0,1,61,1,0,2,1,1,1,1,1,1,0,19.75,1124,0,0,1,0,0,1
213,0,0,1,1,29,1,0,2,1,1,1,1,1,1,0,20.0,540,0,1,0,0,1,0
214,1,1,1,0,23,1,2,1,0,0,0,0,0,2,0,86.8,1975,0,0,0,0,1,0
215,0,0,1,0,57,0,1,0,2,2,2,0,2,2,1,58.75,3437,0,0,0,0,0,0
216,1,0,1,1,72,0,1,0,2,2,2,2,0,0,0,45.25,3139,0,0,1,1,0,0
217,1,0,1,0,66,0,1,0,2,2,2,2,2,0,1,56.6,3789,0,0,1,0,0,0
218,1,0,1,1,65,1,2,0,0,2,2,2,2,2,1,84.2,5324,0,0,1,0,0,0
219,0,0,0,0,8,1,0,1,0,0,0,0,2,0,1,80.0,624,0,0,0,0,0,0
220,0,0,0,0,4,1,0,1,0,0,0,0,0,0,1,70.15,268,1,0,0,0,1,0
221,0,0,1,0,71,1,2,2,1,1,1,1,1,1,0,24.75,1836,0,0,1,0,0,0
222,1,0,1,1,1,1,0,2,1,1,1,1,1,1,1,20.2,20,0,1,0,0,1,0
223,1,0,1,0,4,1,0,0,0,0,0,2,0,0,0,50.05,179,1,0,0,0,0,1
224,0,0,0,0,12,1,0,2,1,1,1,1,1,1,1,19.35,219,0,1,0,0,0,0
225,1,0,0,0,24,0,1,0,2,0,0,0,2,2,1,50.6,1288,0,1,0,0,0,1
226,0,0,1,1,31,1,0,0,2,0,2,2,2,2,1,81.15,2545,0,1,0,0,0,1
227,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,55.2,55,1,0,0,0,0,1
228,1,0,0,0,30,1,2,1,0,0,0,2,0,2,1,89.9,2723,0,0,0,1,0,0
229,0,0,1,1,47,1,2,0,2,2,0,2,2,2,1,85.3,4107,0,0,1,1,0,0
230,1,0,0,0,54,1,2,1,2,2,0,2,2,2,1,108.0,5760,0,0,1,1,0,0
231,1,0,0,0,50,1,0,1,2,2,0,2,0,2,1,93.5,4747,0,0,0,1,0,0
232,1,0,0,0,1,1,0,1,2,0,0,0,0,2,1,84.6,84,1,0,0,0,0,1
233,0,0,0,0,72,1,0,2,1,1,1,1,1,1,0,20.25,1566,0,0,1,1,0,0
234,0,0,0,0,29,1,2,2,1,1,1,1,1,1,0,25.15,702,0,0,0,0,1,0
235,1,0,0,0,2,1,2,0,0,2,0,0,0,0,1,54.4,114,1,0,0,0,0,1
236,0,0,0,0,10,0,1,0,0,0,0,2,0,0,1,29.6,299,0,0,1,0,0,1
237,1,0,1,0,18,1,2,1,0,0,0,0,0,0,1,73.15,1305,0,0,0,0,1,0
238,0,1,0,0,11,1,0,1,0,2,0,0,2,2,1,95.0,1120,1,0,0,0,1,0
239,1,0,0,0,16,1,0,2,1,1,1,1,1,1,0,19.75,284,0,0,1,0,0,1
240,0,0,0,0,72,1,2,0,0,2,2,2,2,2,0,86.6,6350,0,0,1,0,0,0
241,1,0,0,0,72,1,2,1,0,2,2,2,2,2,0,109.2,7878,0,0,1,0,0,0
242,0,0,1,1,41,1,0,0,2,0,0,2,2,2,1,74.7,3187,0,1,0,1,0,0
243,0,1,1,0,65,1,0,1,2,2,2,0,0,2,0,94.4,6126,0,0,0,0,1,0
244,0,1,0,0,13,1,0,0,0,2,2,0,0,0,1,54.8,731,0,0,0,0,1,0
245,1,1,0,0,4,1,0,1,2,0,0,0,0,0,0,75.35,273,0,0,0,0,1,0
246,1,0,0,0,41,1,2,0,0,0,2,0,0,2,0,65.0,2531,0,1,0,0,0,1
247,1,1,0,0,15,1,0,1,0,2,0,0,0,0,1,74.4,1074,1,0,0,0,1,0
248,1,0,0,0,1,1,0,0,2,0,0,0,0,0,1,48.55,48,1,0,0,0,0,1
249,1,0,0,0,42,1,2,1,2,2,2,0,0,2,1,99.0,4298,0,1,0,0,1,0
250,0,0,1,0,51,1,0,1,2,2,2,0,2,0,1,93.5,4619,0,1,0,0,1,0
251,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,70.4,147,1,0,0,0,1,0
252,1,1,1,0,1,0,1,0,0,2,0,0,2,0,0,40.2,40,1,0,0,0,1,0
253,1,0,0,1,32,1,2,0,0,2,2,2,2,2,0,83.7,2633,0,1,0,1,0,0
254,1,0,0,0,10,1,0,2,1,1,1,1,1,1,1,19.85,193,0,0,0,0,0,1
255,0,0,1,1,67,0,1,0,0,2,2,2,2,2,1,59.55,4103,0,0,1,0,1,0
256,0,0,1,1,61,1,2,1,2,2,2,2,2,2,0,115.1,7008,0,0,1,1,0,0
257,1,0,0,0,50,1,2,1,2,2,2,2,2,2,0,114.35,5791,0,1,0,1,0,0
258,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,44.6,80,1,0,0,1,0,0
259,0,1,1,0,29,0,1,0,2,0,2,0,0,2,1,45.0,1228,0,0,0,0,1,0
260,1,1,0,0,3,0,1,0,0,0,2,0,0,2,1,41.15,132,1,0,0,0,1,0
261,1,1,0,0,13,1,2,1,0,2,2,0,2,2,1,106.9,1364,1,0,0,0,1,0
262,1,1,1,0,57,1,2,1,0,2,0,0,0,2,1,89.85,4925,0,0,0,0,1,0
263,0,0,0,0,31,0,1,0,2,2,0,2,0,2,1,49.85,1520,0,0,1,0,0,0
264,0,0,1,0,45,1,2,1,2,2,2,2,2,2,0,113.3,5032,0,1,0,0,0,1
265,0,0,1,1,61,1,2,0,2,2,2,2,2,2,0,88.1,5526,0,0,1,0,0,1
266,1,0,0,0,50,1,2,2,1,1,1,1,1,1,0,24.9,1195,0,0,1,0,0,0
267,0,1,0,0,19,1,0,1,2,2,0,2,2,2,1,105.0,2007,0,0,0,0,0,1
268,1,0,0,0,59,1,0,2,1,1,1,1,1,1,0,19.35,1099,1,0,1,0,0,1
269,0,0,1,0,71,1,2,2,1,1,1,1,1,1,1,24.25,1732,0,0,1,1,0,0
